a,1833,a,14,a,1,_,1,_,1
a,1833,a,14,h,3,e,1,d,1
a,1833,a,14,h,3,s,1,_,1
a,1833,a,14,l,3,i,1,i,1
a,1833,a,14,l,3,s,1,_,1
a,1833,a,14,m,1,_,1,_,1
a,1833,a,14,n,1,i,1,_,1
a,1833,a,14,r,3,g,1,h,1
a,1833,a,14,r,3,o,1,n,1
a,1833,a,14,r,3,u,1,_,1
a,1833,a,14,s,1,_,1,_,1
a,1833,b,123,a,21,c,4,a,1
a,1833,b,123,a,21,c,4,i,1
a,1833,b,123,a,21,c,4,k,1
a,1833,b,123,a,21,d,1,a,1
a,1833,b,123,a,21,f,2,f,1
a,1833,b,123,a,21,f,2,t,1
a,1833,b,123,a,21,y,1,_,1
a,1833,b,123,a,21,k,1,a,1
a,1833,b,123,a,21,m,2,a,1
a,1833,b,123,a,21,m,2,p,1
a,1833,b,123,a,21,n,1,d,1
a,1833,b,123,a,21,s,4,e,1
a,1833,b,123,a,21,s,4,h,1
a,1833,b,123,a,21,s,4,k,1
a,1833,b,123,a,21,t,1,e,1
a,1833,b,123,a,21,u,1,e,1
a,1833,b,123,a,21,v,1,e,1
a,1833,b,123,a,21,z,1,e,1
a,1833,b,123,b,10,a,2,s,1
a,1833,b,123,b,10,e,3,y,1
a,1833,b,123,b,10,e,3,s,1
a,1833,b,123,b,10,y,1,_,1
a,1833,b,123,b,10,i,1,e,1
a,1833,b,123,b,10,o,1,t,1
a,1833,b,123,b,10,r,1,_,1
a,1833,b,123,c,1,_,1,_,1
a,1833,b,123,d,4,a,2,l,1
a,1833,b,123,d,4,a,2,t,1
a,1833,b,123,d,4,o,1,m,1
a,1833,b,123,e,12,a,2,m,1
a,1833,b,123,e,12,a,2,r,1
a,1833,b,123,e,12,d,2,e,1
a,1833,b,123,e,12,y,1,_,1
a,1833,b,123,e,12,l,2,e,1
a,1833,b,123,e,12,n,1,d,1
a,1833,b,123,e,12,r,1,r,1
a,1833,b,123,e,12,t,2,s,1
a,1833,b,123,h,1,o,1,r,1
a,1833,b,123,y,6,e,2,s,1
a,1833,b,123,y,6,s,3,m,1
a,1833,b,123,y,6,s,3,s,1
a,1833,b,123,i,9,b,1,_,1
a,1833,b,123,i,9,d,2,e,1
a,1833,b,123,i,9,d,2,i,1
a,1833,b,123,i,9,e,2,s,1
a,1833,b,123,i,9,l,1,o,1
a,1833,b,123,i,9,m,1,e,1
a,1833,b,123,i,9,r,1,_,1
a,1833,b,123,i,9,t,1,_,1
a,1833,b,123,k,1,a,1,r,1
a,1833,b,123,l,8,e,5,d,1
a,1833,b,123,l,8,e,5,r,1
a,1833,b,123,l,8,e,5,s,1
a,1833,b,123,l,8,e,5,t,1
a,1833,b,123,l,8,y,1,_,1
a,1833,b,123,l,8,o,1,w,1
a,1833,b,123,m,1,h,1,o,1
a,1833,b,123,n,3,e,2,r,1
a,1833,b,123,n,3,e,2,t,1
a,1833,b,123,o,15,d,2,e,1
a,1833,b,123,o,15,d,2,y,1
a,1833,b,123,o,15,h,1,m,1
a,1833,b,123,o,15,i,1,l,1
a,1833,b,123,o,15,m,1,a,1
a,1833,b,123,o,15,o,1,n,1
a,1833,b,123,o,15,r,2,d,1
a,1833,b,123,o,15,r,2,t,1
a,1833,b,123,o,15,s,1,_,1
a,1833,b,123,o,15,t,1,e,1
a,1833,b,123,o,15,u,1,t,1
a,1833,b,123,o,15,v,1,e,1
a,1833,b,123,o,15,w,1,_,1
a,1833,b,123,o,15,x,1,_,1
a,1833,b,123,p,1,_,1,_,1
a,1833,b,123,r,9,a,2,y,1
a,1833,b,123,r,9,a,2,m,1
a,1833,b,123,r,9,e,1,t,1
a,1833,b,123,r,9,i,4,m,1
a,1833,b,123,r,9,i,4,n,1
a,1833,b,123,r,9,i,4,s,1
a,1833,b,123,r,9,u,1,s,1
a,1833,b,123,s,7,e,2,e,1
a,1833,b,123,s,7,e,2,y,1
a,1833,b,123,s,7,i,3,s,1
a,1833,b,123,s,7,i,3,t,1
a,1833,b,123,s,7,t,1,r,1
a,1833,b,123,t,1,_,1,_,1
a,1833,b,123,u,10,n,2,a,1
a,1833,b,123,u,10,n,2,e,1
a,1833,b,123,u,10,r,1,a,1
a,1833,b,123,u,10,s,2,e,1
a,1833,b,123,u,10,s,2,h,1
a,1833,b,123,u,10,t,3,a,1
a,1833,b,123,u,10,t,3,s,1
a,1833,b,123,u,10,z,1,z,1
a,1833,b,123,v,1,_,1,_,1
a,1833,b,123,w,1,a,1,b,1
a,1833,c,96,a,8,d,1,_,1
a,1833,c,96,a,8,l,1,e,1
a,1833,c,96,a,8,n,1,a,1
a,1833,c,96,a,8,p,1,u,1
a,1833,c,96,a,8,r,2,a,1
a,1833,c,96,a,8,r,2,i,1
a,1833,c,96,a,8,s,1,t,1
a,1833,c,96,a,8,t,1,e,1
a,1833,c,96,c,11,a,1,_,1
a,1833,c,96,c,11,e,2,l,1
a,1833,c,96,c,11,o,1,y,1
a,1833,c,96,c,11,r,1,a,1
a,1833,c,96,c,11,t,2,s,1
a,1833,c,96,c,11,u,3,m,1
a,1833,c,96,c,11,u,3,r,1
a,1833,c,96,c,11,u,3,s,1
a,1833,c,96,e,7,d,2,y,1
